#  Colorado July-September Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2001-2023
# Missing: -99
Date,Value,Anomaly
199309,61.7,-3.5
199409,64.8,-0.4
199509,63.9,-1.3
199609,63.3,-1.9
199709,64.0,-1.2
199809,65.9,0.7
199909,63.1,-2.1
200009,66.1,0.9
200109,65.8,0.6
200209,65.4,0.2
200309,65.8,0.6
200409,62.3,-2.9
200509,65.1,-0.1
200609,62.9,-2.3
200709,66.1,0.9
200809,64.1,-1.1
200909,63.1,-2.1
201009,65.4,0.2
201109,65.9,0.7
201209,65.9,0.7
201309,65.4,0.2
201409,64.3,-0.9
201509,65.4,0.2
201609,64.5,-0.7
201709,64.4,-0.8
201809,66.0,0.8
201909,66.8,1.6
202009,66.1,0.9
202109,66.6,1.4
202209,66.9,1.7
202309,65.9,0.7
