#  Idaho July-September Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2001-2023
# Missing: -99
Date,Value,Anomaly
199309,56.8,-6.5
199409,64.4,1.1
199509,60.9,-2.4
199609,61.3,-2.0
199709,61.8,-1.5
199809,65.5,2.2
199909,61.1,-2.2
200009,62.3,-1.0
200109,64.4,1.1
200209,62.2,-1.1
200309,64.9,1.6
200409,61.2,-2.1
200509,61.9,-1.4
200609,63.0,-0.3
200709,64.1,0.8
200809,62.3,-1.0
200909,63.2,-0.1
201009,61.1,-2.2
201109,63.3,0.0
201209,64.7,1.4
201309,64.8,1.5
201409,63.6,0.3
201509,62.7,-0.6
201609,61.4,-1.9
201709,64.2,0.9
201809,63.2,-0.1
201909,62.2,-1.1
202009,63.6,0.3
202109,64.3,1.0
202209,66.5,3.2
202309,63.6,0.3
