#  Kansas July-September Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2001-2023
# Missing: -99
Date,Value,Anomaly
199309,72.7,-2.8
199409,73.6,-1.9
199509,74.8,-0.7
199609,72.1,-3.4
199709,74.4,-1.1
199809,77.3,1.8
199909,74.4,-1.1
200009,77.7,2.2
200109,76.6,1.1
200209,76.5,1.0
200309,75.7,0.2
200409,72.9,-2.6
200509,76.1,0.6
200609,74.8,-0.7
200709,76.7,1.2
200809,73.4,-2.1
200909,71.8,-3.7
201009,76.7,1.2
201109,77.3,1.8
201209,76.4,0.9
201309,75.3,-0.2
201409,74.0,-1.5
201509,76.1,0.6
201609,75.6,0.1
201709,74.6,-0.9
201809,74.8,-0.7
201909,77.0,1.5
202009,74.0,-1.5
202109,76.7,1.2
202209,77.4,1.9
202309,76.5,1.0
