#  Mississippi July-September Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2001-2023
# Missing: -99
Date,Value,Anomaly
199309,79.3,0.0
199409,76.5,-2.8
199509,79.3,0.0
199609,77.3,-2.0
199709,78.5,-0.8
199809,81.0,1.7
199909,79.3,0.0
200009,80.3,1.0
200109,77.9,-1.4
200209,79.6,0.3
200309,77.9,-1.4
200409,77.0,-2.3
200509,80.3,1.0
200609,79.3,0.0
200709,80.0,0.7
200809,77.9,-1.4
200909,78.0,-1.3
201009,81.2,1.9
201109,79.5,0.2
201209,78.6,-0.7
201309,78.5,-0.8
201409,77.9,-1.4
201509,79.7,0.4
201609,81.1,1.8
201709,78.3,-1.0
201809,80.3,1.0
201909,81.1,1.8
202009,79.2,-0.1
202109,78.7,-0.6
202209,79.3,0.0
202309,81.7,2.4
