#  Montana July-September Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2001-2023
# Missing: -99
Date,Value,Anomaly
199309,56.2,-7.1
199409,63.7,0.4
199509,61.0,-2.3
199609,61.7,-1.6
199709,62.4,-0.9
199809,66.2,2.9
199909,60.7,-2.6
200009,63.2,-0.1
200109,64.9,1.6
200209,62.2,-1.1
200309,65.0,1.7
200409,60.9,-2.4
200509,62.3,-1.0
200609,63.8,0.5
200709,64.7,1.4
200809,61.9,-1.4
200909,62.9,-0.4
201009,60.7,-2.6
201109,63.9,0.6
201209,65.2,1.9
201309,64.5,1.2
201409,62.5,-0.8
201509,63.1,-0.2
201609,61.7,-1.6
201709,64.1,0.8
201809,61.4,-1.9
201909,61.6,-1.7
202009,63.3,0.0
202109,65.2,1.9
202209,66.4,3.1
202309,64.2,0.9
