#  North Dakota July-September Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2001-2023
# Missing: -99
Date,Value,Anomaly
199309,59.7,-5.8
199409,63.8,-1.7
199509,64.4,-1.1
199609,63.9,-1.6
199709,65.5,0.0
199809,67.7,2.2
199909,63.4,-2.1
200009,65.0,-0.5
200109,66.3,0.8
200209,65.8,0.3
200309,66.3,0.8
200409,62.5,-3.0
200509,65.2,-0.3
200609,66.2,0.7
200709,65.7,0.2
200809,64.8,-0.7
200909,64.1,-1.4
201009,64.1,-1.4
201109,66.0,0.5
201209,66.6,1.1
201309,66.3,0.8
201409,63.9,-1.6
201509,66.6,1.1
201609,65.3,-0.2
201709,65.2,-0.3
201809,64.0,-1.5
201909,64.4,-1.1
202009,65.5,0.0
202109,68.3,2.8
202209,67.1,1.6
202309,65.6,0.1
