#  Nebraska July-September Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2001-2023
# Missing: -99
Date,Value,Anomaly
199309,66.4,-4.4
199409,69.0,-1.8
199509,70.5,-0.3
199609,67.6,-3.2
199709,70.0,-0.8
199809,72.6,1.8
199909,69.4,-1.4
200009,72.0,1.2
200109,71.5,0.7
200209,71.9,1.1
200309,71.0,0.2
200409,68.8,-2.0
200509,72.0,1.2
200609,69.7,-1.1
200709,72.1,1.3
200809,69.5,-1.3
200909,67.1,-3.7
201009,71.0,0.2
201109,70.7,-0.1
201209,72.3,1.5
201309,71.7,0.9
201409,68.8,-2.0
201509,70.9,0.1
201609,70.3,-0.5
201709,70.3,-0.5
201809,70.0,-0.8
201909,71.4,0.6
202009,70.7,-0.1
202109,72.3,1.5
202209,73.0,2.2
202309,71.3,0.5
