#  Nevada July-September Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2001-2023
# Missing: -99
Date,Value,Anomaly
199309,66.2,-4.2
199409,70.7,0.3
199509,68.6,-1.8
199609,69.6,-0.8
199709,68.4,-2.0
199809,70.0,-0.4
199909,67.9,-2.5
200009,69.0,-1.4
200109,70.6,0.2
200209,69.9,-0.5
200309,71.4,1.0
200409,68.5,-1.9
200509,69.1,-1.3
200609,69.3,-1.1
200709,70.4,0.0
200809,70.5,0.1
200909,70.3,-0.1
201009,69.3,-1.1
201109,70.0,-0.4
201209,71.4,1.0
201309,70.1,-0.3
201409,70.4,0.0
201509,69.8,-0.6
201609,69.4,-1.0
201709,70.4,0.0
201809,71.7,1.3
201909,69.2,-1.2
202009,72.1,1.7
202109,71.9,1.5
202209,72.8,2.4
202309,69.8,-0.6
