#  South Dakota July-September Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2001-2023
# Missing: -99
Date,Value,Anomaly
199309,63.2,-5.8
199409,66.8,-2.2
199509,68.2,-0.8
199609,66.5,-2.5
199709,68.0,-1.0
199809,70.8,1.8
199909,67.1,-1.9
200009,69.5,0.5
200109,70.0,1.0
200209,70.1,1.1
200309,69.7,0.7
200409,66.6,-2.4
200509,70.3,1.3
200609,69.1,0.1
200709,70.2,1.2
200809,68.1,-0.9
200909,66.1,-2.9
201009,68.4,-0.6
201109,69.1,0.1
201209,70.8,1.8
201309,69.7,0.7
201409,66.4,-2.6
201509,69.3,0.3
201609,68.8,-0.2
201709,68.4,-0.6
201809,67.9,-1.1
201909,67.8,-1.2
202009,68.8,-0.2
202109,70.9,1.9
202209,71.1,2.1
202309,69.1,0.1
