#  Texas July-September Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2001-2023
# Missing: -99
Date,Value,Anomaly
199309,80.3,-0.8
199409,79.6,-1.5
199509,80.1,-1.0
199609,79.3,-1.8
199709,80.8,-0.3
199809,82.7,1.6
199909,80.6,-0.5
200009,82.1,1.0
200109,80.9,-0.2
200209,79.9,-1.2
200309,79.6,-1.5
200409,78.4,-2.7
200509,81.2,0.1
200609,80.4,-0.7
200709,79.3,-1.8
200809,78.6,-2.5
200909,80.5,-0.6
201009,81.2,0.1
201109,84.4,3.3
201209,81.2,0.1
201309,80.9,-0.2
201409,80.2,-0.9
201509,81.9,0.8
201609,81.5,0.4
201709,80.2,-0.9
201809,81.2,0.1
201909,83.4,2.3
202009,81.2,0.1
202109,80.3,-0.8
202209,82.8,1.7
202309,85.2,4.1
