#  Wyoming July-September Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2001-2023
# Missing: -99
Date,Value,Anomaly
199309,56.9,-5.9
199409,62.8,0.0
199509,61.3,-1.5
199609,61.1,-1.7
199709,61.4,-1.4
199809,64.4,1.6
199909,60.6,-2.2
200009,63.2,0.4
200109,64.8,2.0
200209,62.5,-0.3
200309,63.7,0.9
200409,59.9,-2.9
200509,62.1,-0.7
200609,62.2,-0.6
200709,64.2,1.4
200809,61.4,-1.4
200909,60.9,-1.9
201009,61.8,-1.0
201109,63.4,0.6
201209,64.7,1.9
201309,63.9,1.1
201409,61.6,-1.2
201509,62.5,-0.3
201609,61.9,-0.9
201709,62.2,-0.6
201809,62.7,-0.1
201909,62.5,-0.3
202009,63.3,0.5
202109,64.1,1.3
202209,65.3,2.5
202309,62.8,0.0
