Year and Quarter,Topic,Topic Subgroup,Indicator,Race Ethnicity Category,Rate,Unit,Significant
2023 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2023 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2023 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2023 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,All races and origins,13.40,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,Hispanic,21.30,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,19.70,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic White,8.70,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,All races and origins,56.00,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,Hispanic,78.30,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,68.10,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic White,46.80,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,All races and origins,92.00,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,Hispanic,112.80,"per 1,000 population",
2023 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,87.30,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic White,89.90,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,All races and origins,95.70,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,Hispanic,101.90,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,77.70,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic White,98.50,"per 1,000 population",*
2023 Q3,Birth Rates,Age-specific Birth Rates,35-39 years,All races and origins,54.90,"per 1,000 population",*
