"Year","FullGeoName","County","Activity","Reported.human.cases","Neuroinvasive.disease.cases","Identified.by.Blood.Donor.Screening","State","Average_Temperature_F"
2000,"CT, Fairfield",9001,"Human infections and non-human activity",1,0,0,"CT",53.7
2000,"CT, Hartford",9003,"Non-human activity",0,0,0,"CT",53.7
2000,"CT, Litchfield",9005,"Non-human activity",0,0,0,"CT",53.7
2000,"CT, Middlesex",9007,"Non-human activity",0,0,0,"CT",53.7
2000,"CT, New Haven",9009,"Non-human activity",0,0,0,"CT",53.7
2000,"CT, New London",9011,"Non-human activity",0,0,0,"CT",53.7
2000,"CT, Tolland",9013,"Non-human activity",0,0,0,"CT",53.7
2000,"CT, Windham",9015,"Non-human activity",0,0,0,"CT",53.7
2000,"DE, Kent",10001,"Non-human activity",0,0,0,"DE",53.7
2000,"DE, New Castle",10003,"Non-human activity",0,0,0,"DE",53.7
2000,"DC, Washington",11001,"Non-human activity",0,0,0,"DC",53.7
2000,"MD, Anne Arundel",24003,"Non-human activity",0,0,0,"MD",53.7
2000,"MD, Baltimore",24005,"Non-human activity",0,0,0,"MD",53.7
2000,"MD, Charles",24017,"Non-human activity",0,0,0,"MD",53.7
2000,"MD, Frederick",24021,"Non-human activity",0,0,0,"MD",53.7
2000,"MD, Howard",24027,"Non-human activity",0,0,0,"MD",53.7
2000,"MD, Montgomery",24031,"Non-human activity",0,0,0,"MD",53.7
2000,"MD, Prince Georges",24033,"Non-human activity",0,0,0,"MD",53.7
2000,"MD, Baltimore City",24510,"Non-human activity",0,0,0,"MD",53.7
2000,"MA, Barnstable",25001,"Non-human activity",0,0,0,"MA",53.7
2000,"MA, Bristol",25005,"Non-human activity",0,0,0,"MA",53.7
2000,"MA, Essex",25009,"Non-human activity",0,0,0,"MA",53.7
2000,"MA, Hampden",25013,"Non-human activity",0,0,0,"MA",53.7
2000,"MA, Hampshire",25015,"Non-human activity",0,0,0,"MA",53.7
2000,"MA, Middlesex",25017,"Non-human activity",0,0,0,"MA",53.7
